trial	copf	ropf	ccc	rcc	eta	csjc	rsjc	eps
74	567.073	0.0170978	567.626	0.0173499	0.47037	565.215	0.0100981	0.0105037
75	567.073	0.0170978	567.635	0.0173534	0.46997	565.215	0.0100981	0.010497
76	567.073	0.0170978	567.643	0.0173569	0.46957	565.215	0.0100981	0.0104903
77	567.073	0.0170978	567.651	0.0173605	0.469169	565.215	0.0100981	0.0104836
78	567.073	0.0170978	567.659	0.017364	0.468769	565.215	0.0100981	0.0104769
79	567.073	0.0170978	567.667	0.0173674	0.468368	565.215	0.0100981	0.0104702
80	567.073	0.0170978	567.675	0.0173708	0.467968	565.215	0.0100981	0.0104635
81	567.073	0.0170978	567.683	0.0173743	0.467568	565.215	0.0100981	0.0104568
82	567.073	0.0170978	567.691	0.0173777	0.467167	565.215	0.0100981	0.0104501
83	567.073	0.0170978	567.7	0.0173812	0.466767	565.215	0.0100981	0.0104433
84	567.073	0.0170978	567.708	0.0173846	0.466366	565.215	0.0100981	0.0104366
85	567.073	0.0170978	567.716	0.0173881	0.465966	565.215	0.0100981	0.0104299
86	567.073	0.0170978	567.724	0.0173915	0.465566	565.215	0.0100981	0.0104232
87	567.073	0.0170978	567.733	0.017395	0.465165	565.215	0.0100981	0.0104165
88	567.073	0.0170978	567.741	0.0173985	0.464765	565.215	0.0100981	0.0104098
89	567.073	0.0170978	567.749	0.0174011	0.464364	565.215	0.0100981	0.0104031
90	567.073	0.0170978	567.757	0.0174045	0.463964	565.215	0.0100981	0.0103964
91	567.073	0.0170978	567.766	0.0174078	0.463564	565.215	0.0100981	0.0103897
92	567.073	0.0170978	567.774	0.0174112	0.463163	565.215	0.0100981	0.010383
93	567.073	0.0170978	567.782	0.0174146	0.462763	565.215	0.0100981	0.0103763
94	567.073	0.0170978	567.791	0.017418	0.462362	565.215	0.0100981	0.0103696
95	567.073	0.0170978	567.799	0.0174214	0.461962	565.215	0.0100981	0.0103629
96	567.073	0.0170978	567.808	0.0174249	0.461562	565.215	0.0100981	0.0103562
97	567.073	0.0170978	567.816	0.0174283	0.461161	565.215	0.0100981	0.0103494
98	567.073	0.0170978	567.824	0.0174317	0.460761	565.215	0.0100981	0.0103427
99	567.073	0.0170978	567.833	0.0174352	0.46036	565.215	0.0100981	0.010336
100	567.073	0.0170978	567.841	0.0174386	0.45996	565.215	0.0100981	0.0103293
101	567.073	0.0170978	567.85	0.017442	0.45956	565.215	0.0100981	0.0103226
102	567.073	0.0170978	567.858	0.0174454	0.459159	565.215	0.0100981	0.0103159
103	567.073	0.0170978	567.867	0.0174488	0.458759	565.215	0.0100981	0.0103092
104	567.073	0.0170978	567.875	0.0174521	0.458358	565.215	0.0100981	0.0103025
105	567.073	0.0170978	567.884	0.0174554	0.457958	565.215	0.0100981	0.0102958
106	567.073	0.0170978	567.892	0.0174588	0.457558	565.215	0.0100981	0.0102891
107	567.073	0.0170978	567.901	0.0174622	0.457157	565.215	0.0100981	0.0102824
108	567.073	0.0170978	567.91	0.0174656	0.456757	565.215	0.0100981	0.0102757
109	567.073	0.0170978	567.918	0.0174689	0.456356	565.215	0.0100981	0.010269
110	567.073	0.0170978	567.927	0.0174725	0.455956	565.215	0.0100981	0.0102623
111	567.073	0.0170978	567.935	0.0174761	0.455556	565.215	0.0100981	0.0102556
112	567.073	0.0170978	567.944	0.01748	0.455155	565.215	0.0100981	0.0102488
113	567.073	0.0170978	567.953	0.0174839	0.454755	565.215	0.0100981	0.0102421
114	567.073	0.0170978	567.961	0.0174878	0.454354	565.215	0.0100981	0.0102354
115	567.073	0.0170978	567.97	0.0174916	0.453954	565.215	0.0100981	0.0102287
116	567.073	0.0170978	567.979	0.0174953	0.453554	565.215	0.0100981	0.010222
117	567.073	0.0170978	567.988	0.017499	0.453153	565.215	0.0100981	0.0102153
118	567.073	0.0170978	567.996	0.0175028	0.452753	565.215	0.0100981	0.0102086
119	567.073	0.0170978	568.005	0.0175067	0.452352	565.215	0.0100981	0.0102019
120	567.073	0.0170978	568.014	0.0175108	0.451952	565.215	0.0100981	0.0101952
121	567.073	0.0170978	568.023	0.0175149	0.451552	565.215	0.0100981	0.0101885
122	567.073	0.0170978	568.031	0.0175187	0.451151	565.215	0.0100981	0.0101818
123	567.073	0.0170978	568.04	0.0175222	0.450751	565.215	0.0100981	0.0101751
124	567.073	0.0170978	568.049	0.0175257	0.45035	565.215	0.0100981	0.0101684
125	567.073	0.0170978	568.058	0.0175297	0.44995	565.215	0.0100981	0.0101617
126	567.073	0.0170978	568.067	0.0175334	0.44955	565.215	0.0100981	0.010155
127	567.073	0.0170978	568.076	0.0175371	0.449149	565.215	0.0100981	0.0101482
128	567.073	0.0170978	568.085	0.0175408	0.448749	565.215	0.0100981	0.0101415
129	567.073	0.0170978	568.094	0.0175446	0.448348	565.215	0.0100981	0.0101348
130	567.073	0.0170978	568.103	0.0175486	0.447948	565.215	0.0100981	0.0101281
131	567.073	0.0170978	568.112	0.0175527	0.447548	565.215	0.0100981	0.0101214
132	567.073	0.0170978	568.121	0.0175569	0.447147	565.215	0.0100981	0.0101147
133	567.073	0.0170978	568.13	0.017561	0.446747	565.215	0.0100981	0.010108
134	567.073	0.0170978	568.139	0.0175652	0.446346	565.215	0.0100981	0.0101013
135	567.073	0.0170978	568.148	0.0175694	0.445946	565.215	0.0100981	0.0100946
